,index,value,status
0,0,-5,loss
1,1,5,win
2,2,5,win
3,3,-5,loss
4,4,0,draw
5,5,-5,loss
6,6,5,win
7,7,-5,loss
8,8,0,draw
9,9,-5,loss
10,10,-5,loss
11,11,5,win
12,12,-5,loss
13,13,-5,loss
14,14,-5,loss
15,15,0,draw
16,16,0,draw
17,17,0,draw
18,18,0,draw
19,19,-5,loss
20,20,-5,loss
21,21,-5,loss
22,22,5,win
23,23,-5,loss
24,24,-5,loss
25,25,-5,loss
26,26,-5,loss
27,27,0,draw
28,28,-5,loss
29,29,-5,loss
30,30,-5,loss
31,31,-5,loss
32,32,-5,loss
33,33,-5,loss
34,34,-5,loss
35,35,-5,loss
36,36,5,win
37,37,-5,loss
38,38,-5,loss
39,39,5,win
40,40,-5,loss
41,41,-5,loss
42,42,0,draw
43,43,-5,loss
44,44,-5,loss
45,45,5,win
46,46,-5,loss
47,47,5,win
48,48,-5,loss
49,49,5,win
50,50,0,draw
51,51,0,draw
52,52,0,draw
53,53,0,draw
54,54,5,win
55,55,-5,loss
56,56,-5,loss
57,57,-5,loss
58,58,0,draw
59,59,0,draw
60,60,-5,loss
61,61,5,win
62,62,0,draw
63,63,-5,loss
64,64,-5,loss
65,65,5,win
66,66,0,draw
67,67,5,win
68,68,-5,loss
69,69,-5,loss
70,70,0,draw
71,71,0,draw
72,72,-5,loss
73,73,-5,loss
74,74,-5,loss
75,75,5,win
76,76,0,draw
77,77,-5,loss
78,78,5,win
79,79,5,win
80,80,5,win
81,81,-5,loss
82,82,-5,loss
83,83,0,draw
84,84,-5,loss
85,85,-5,loss
86,86,-5,loss
87,87,5,win
88,88,0,draw
89,89,0,draw
90,90,-5,loss
91,91,-5,loss
92,92,-5,loss
93,93,-5,loss
94,94,-5,loss
95,95,5,win
96,96,5,win
97,97,5,win
98,98,0,draw
99,99,-5,loss
100,100,-5,loss
101,101,0,draw
102,102,-5,loss
103,103,-5,loss
104,104,-5,loss
105,105,5,win
106,106,0,draw
107,107,-5,loss
108,108,-5,loss
109,109,-5,loss
110,110,0,draw
111,111,-5,loss
112,112,-5,loss
113,113,5,win
114,114,0,draw
115,115,-5,loss
116,116,-5,loss
117,117,-5,loss
118,118,5,win
119,119,-5,loss
120,120,-5,loss
121,121,-5,loss
122,122,-5,loss
123,123,-5,loss
124,124,-5,loss
125,125,5,win
126,126,-5,loss
127,127,0,draw
128,128,-5,loss
129,129,5,win
130,130,0,draw
131,131,-5,loss
132,132,0,draw
133,133,0,draw
134,134,-5,loss
135,135,5,win
136,136,-5,loss
137,137,-5,loss
138,138,-5,loss
139,139,-5,loss
140,140,-5,loss
141,141,-5,loss
142,142,5,win
143,143,5,win
144,144,-5,loss
145,145,-5,loss
146,146,-5,loss
147,147,0,draw
148,148,-5,loss
149,149,-5,loss
150,150,5,win
151,151,-5,loss
152,152,5,win
153,153,-5,loss
154,154,5,win
155,155,-5,loss
156,156,5,win
157,157,-5,loss
158,158,0,draw
159,159,-5,loss
160,160,-5,loss
161,161,-5,loss
162,162,5,win
163,163,5,win
164,164,-5,loss
165,165,-5,loss
166,166,-5,loss
167,167,0,draw
168,168,-5,loss
169,169,5,win
170,170,0,draw
171,171,5,win
172,172,-5,loss
173,173,-5,loss
174,174,-5,loss
175,175,5,win
176,176,5,win
177,177,0,draw
178,178,-5,loss
179,179,0,draw
180,180,-5,loss
181,181,0,draw
182,182,-5,loss
183,183,-5,loss
184,184,-5,loss
185,185,-5,loss
186,186,-5,loss
187,187,0,draw
188,188,-5,loss
189,189,5,win
190,190,-5,loss
191,191,-5,loss
192,192,-5,loss
193,193,0,draw
194,194,0,draw
195,195,-5,loss
196,196,-5,loss
197,197,-5,loss
198,198,-5,loss
199,199,-5,loss
200,200,-5,loss
201,201,-5,loss
202,202,-5,loss
203,203,-5,loss
204,204,-5,loss
205,205,-5,loss
206,206,0,draw
207,207,5,win
208,208,0,draw
209,209,-5,loss
210,210,-5,loss
211,211,-5,loss
212,212,-5,loss
213,213,5,win
214,214,0,draw
215,215,5,win
216,216,-5,loss
217,217,5,win
218,218,5,win
219,219,0,draw
220,220,-5,loss
221,221,-5,loss
222,222,0,draw
223,223,-5,loss
224,224,-5,loss
225,225,5,win
226,226,-5,loss
227,227,-5,loss
228,228,0,draw
229,229,0,draw
230,230,-5,loss
231,231,-5,loss
232,232,0,draw
233,233,-5,loss
234,234,5,win
235,235,-5,loss
236,236,-5,loss
237,237,-5,loss
238,238,5,win
239,239,-5,loss
240,240,0,draw
241,241,0,draw
242,242,-5,loss
243,243,5,win
244,244,-5,loss
245,245,0,draw
246,246,0,draw
247,247,-5,loss
248,248,-5,loss
249,249,5,win
250,250,-5,loss
251,251,-5,loss
252,252,0,draw
253,253,-5,loss
254,254,-5,loss
255,255,-5,loss
256,256,0,draw
257,257,-5,loss
258,258,-5,loss
259,259,0,draw
260,260,0,draw
261,261,-5,loss
262,262,-5,loss
263,263,-5,loss
264,264,0,draw
265,265,-5,loss
266,266,-5,loss
267,267,-5,loss
268,268,-5,loss
269,269,-5,loss
270,270,-5,loss
271,271,-5,loss
272,272,-5,loss
273,273,0,draw
274,274,-5,loss
275,275,-5,loss
276,276,-5,loss
277,277,-5,loss
278,278,-5,loss
279,279,-5,loss
280,280,0,draw
281,281,-5,loss
282,282,0,draw
283,283,-5,loss
284,284,5,win
285,285,5,win
286,286,-5,loss
287,287,-5,loss
288,288,-5,loss
289,289,5,win
290,290,-5,loss
291,291,5,win
292,292,-5,loss
293,293,-5,loss
294,294,5,win
295,295,-5,loss
296,296,-5,loss
297,297,0,draw
298,298,-5,loss
299,299,-5,loss
300,300,-5,loss
301,301,-5,loss
302,302,-5,loss
303,303,0,draw
304,304,5,win
305,305,-5,loss
306,306,0,draw
307,307,-5,loss
308,308,0,draw
309,309,-5,loss
310,310,-5,loss
311,311,-5,loss
312,312,-5,loss
313,313,-5,loss
314,314,0,draw
315,315,0,draw
316,316,-5,loss
317,317,-5,loss
318,318,-5,loss
319,319,-5,loss
320,320,-5,loss
321,321,0,draw
322,322,-5,loss
323,323,-5,loss
324,324,0,draw
325,325,0,draw
326,326,0,draw
327,327,-5,loss
328,328,-5,loss
329,329,-5,loss
330,330,-5,loss
331,331,0,draw
332,332,0,draw
333,333,-5,loss
334,334,5,win
335,335,0,draw
336,336,-5,loss
337,337,-5,loss
338,338,-5,loss
339,339,5,win
340,340,-5,loss
341,341,5,win
342,342,-5,loss
343,343,-5,loss
344,344,-5,loss
345,345,-5,loss
346,346,5,win
347,347,-5,loss
348,348,-5,loss
349,349,5,win
350,350,-5,loss
351,351,5,win
352,352,-5,loss
353,353,-5,loss
354,354,-5,loss
355,355,-5,loss
356,356,-5,loss
357,357,-5,loss
358,358,-5,loss
359,359,0,draw
360,360,0,draw
361,361,-5,loss
362,362,0,draw
363,363,0,draw
364,364,-5,loss
365,365,0,draw
366,366,-5,loss
367,367,0,draw
368,368,0,draw
369,369,-5,loss
370,370,0,draw
371,371,-5,loss
372,372,-5,loss
373,373,-5,loss
374,374,0,draw
